Nom de l'offre touristique;Type de restaurant;Catégorie du restaurant;Adresse1;Adresse2;Adresse3;Code postal;Cedex;Bureau distributeur;Commune;Code Insee de la Commune;latitude;longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Type de plateforme/url;widget tripadvisor;Code Embed pour intégrer une video;Classement dans les guides restaurants;Label classement logis;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Labels;Service(s) proposé(s) sur l'équipement;Nombre max couverts;Nombre salles restaurant;Nombre max couverts en terrasse;Nombre salles de réunion;Nombre salles climatisées;Présence de l'offre sur les grands itinéraires vélo;Langue(s) parlée(s) à l'accueil;Langue(s) parlée(s) à l'accueil;Nombre personnes min pour les groupes;Nombre personnes max pour les groupes;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Centrale de réservation en ligne?;Moyen(s) de réservation en ligne;Tarifs;Mode(s) de paiement accepté(s);localisation;Département
Restaurant Les Tables De La Fontaine;Hôtel restaurant;Restaurant gastronomique - cuisine raffinée;;D 323 Route de la Flèche;Domaine de Bel-Air;72330;;;CERANS-FOULLETOURTE;72051;47.8143446;0.0700322;Route (nationale/départ.)||RD323 Le Mans-Angers||;06 21 04 81 93;;;odchefprive72@gmail.com;https://www.les-tables-de-la-fontaine.fr/;;"Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g2500840-d5825706-Reviews-Les_tables_de_la_fontaine-Cerans_Foulletourte_Sarthe_Pays_de_la_Loire.html ; Facebook||https://www.facebook.com/Les-tables-de-La-Fontaine-175790621541/?fref=ts";;;;;;oui;;;Banquet,Plats à emporter,Séminaire,Traiteur,WiFi;49;1;;;1;;Français;oui;;199;oui;"01/01/2026||31/07/2026||||Dimanche soir, lundi, mardi midi||||||||||||||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00|||| ; 01/09/2026||31/12/2026||||Dimanche soir, lundi, mardi midi||||||||||||||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||||";HERAN||02.43.87.18.18||;;;"Menu adulte du jour (midi en semaine)||29,00||65,00|| ; Menu adulte soir et week-end||55,00||65,00||";Cartes bancaires,Chèques bancaires et postaux,Espèces;47.8143446, 0.0700322;Sarthe
BRASSERIE DES VOYAGEURS;Restaurant;Brasserie;;6 place de l'église;;44310;;;SAINT-PHILBERT-DE-GRAND-LIEU;44188;47.03661;-1.64147;;;02 40 78 89 29;;cafedesvoyageurs@orange.fr;;;;;;;;;;;;Séminaire,Service en terrasse;;;;;;;Anglais,Français;oui;;;oui;;Accueil||02 40 78 89 29||;;;;;47.03661, -1.64147;Loire-Atlantique
18e Amendement;Restaurant;Brasserie;;6 rue Denis Papin;;44810;;;HERIC;44073;47.3747319;-1.6519764;;;;;18amendement.heric@gmail.com;;;Facebook||https://www.facebook.com/profile.php?id=61565984500385&sk=about;;;;;;;;;;;;;;;;;;;;;;;;;;;47.3747319, -1.6519764;Loire-Atlantique
A CANTINA;Restaurant;;;28 rue Kervegan;;44000;;;NANTES;44109;47.2125614;-1.5565375;;;02 40 47 68 83;;;http://www.a-cantina.fr/;;;;;Les Tables de Nantes;;;;;;;;;;;;;;;;;;;;;;;;47.2125614, -1.5565375;Loire-Atlantique
A LA BONHEUR - GUINGUETTE ESTIVALE;Restaurant;Guinguette;Parc de la Boulogne;Avenue de Nantes;;44310;;;SAINT-PHILBERT-DE-GRAND-LIEU;44188;47.0417847;-1.6387608;"Aéroport/aérodrome||Nantes Atlantique ||30 ; Autoroute||A83||30 ; Bord de mer||Pornic ||40";;02 57 74 02 19;;;https://www.a-la-bonheur.fr/guinguette-st-philbert/;;;;;;;;;;;Service en terrasse;;;;;;;;;;;non;;Benoit Gaudin ||07 51 60 08 80||benoit.gaudin@endevent.fr;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.0417847, -1.6387608;Loire-Atlantique
A LA TABLE DU PUISARD;Restaurant;Restaurant gastronomique - cuisine raffinée;;LE PUISARD;;72290;;;MEZIERES-SUR-PONTHOUIN;72196;48.1887807;0.28008689;;07 71 61 45 15;02 43 33 89 86;;alatabledupuisard@gmail.com;www.a-la-table-du-puisard.fr/;;;;;;;;oui;animaux tenus en laisse;;Banquet,Plats à emporter,Service en terrasse,Traiteur,WiFi;80;2;40;;;;;oui;12;80;oui;;||02 43 33 84 86||alatabledupuisard@gmail.com;;;;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;48.1887807, 0.28008689;Sarthe
Ailleurs - Westotel Le Pouliguen;Restaurant;Cuisine traditionnelle;;6 boulevard de La Libération;;44510;;;LE POULIGUEN;44135;47.27369;-2.42444;;;02 55 40 00 00;;reservation@westotel-lepouliguen.com;http://www.westotel-lepouliguen.com;;;;;;;;non;;;Séminaire,Service en terrasse,WiFi;200;15;150;26;;;Anglais,Espagnol;oui;;300;;01/01/2026||31/12/2026||||||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.27369, -2.42444;Loire-Atlantique
Ailleurs - Westotel Le Pouliguen;Restaurant;Cuisine traditionnelle;;6 boulevard de La Libération;;44510;;;LE POULIGUEN;44135;47.28292;-2.42882;;;02 55 40 00 00;;reservation@westotel-lepouliguen.com;http://www.westotel-lepouliguen.com;;;;;;;;non;;;Séminaire,Service en terrasse,WiFi;200;15;150;26;;;Anglais,Espagnol;oui;;300;;01/01/2026||31/12/2026||||||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.28292, -2.42882;Loire-Atlantique
Anne de Bretagne;Hôtel restaurant;Restaurant gastronomique - cuisine raffinée;;163 boulevard de la Tara;Port de Gravette;44770;;;LA PLAINE-SUR-MER;44126;47.15498;-2.21346;;;02 40 21 54 72;02 40 21 02 33;bienvenue@annedebretagne.com;https://annedebretagne.com/;;;;;Gault Millau,Michelin;;;oui;;;Séminaire,WiFi;35;1;;;;;;;;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.15498, -2.21346;Loire-Atlantique
Atelier Romence - Pâtisserie;Restaurant;;;10 Rue du Docteur Leroy;;72000;;;LE MANS;72181;48.00306;0.19584;;;09 83 05 57 12;;atelier.romence@gmail.com;https://www.atelier-romence.fr/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.00306, 0.19584;Sarthe
Au blé noir;Restaurant;Crêperie;;17 rue Georges Clémenceau;;44760;;;LA BERNERIE-EN-RETZ;44012;47.08065;-2.03794;;;02 40 64 78 86;;creperieaublenoir@yahoo.fr;;;;;;Le petit futé;;;oui;;;Plats à emporter;40;1;;;;;;oui;;40;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.08065, -2.03794;Loire-Atlantique
Au Bois Martin;Restaurant;Cuisine traditionnelle;;113 Route de Bois Martin;;72560;;;CHANGE;72058;47.96749;0.2725;;;02 43 40 02 11;;restaurantleboismartin@orange.fr;;;;;;;;;;;;;;;;;;;;;;;;||||||||07:30||19:30||||||07:30||19:30||||||07:30||16:30||||||07:30||19:30||||||07:30||19:30||||||||||||||||||||;;;;;;47.96749, 0.2725;Sarthe
Au Bureau;Restaurant;Brasserie;;Les Arcades Rougé;30 rue Bretonnaise;49300;;;CHOLET;49099;47.06159;-0.88247;;;02 41 16 06 51;;direction.cholet@aubureau.fr;https://www.aubureau.fr/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.06159, -0.88247;Maine-et-Loire
Au comptoir du Roc;Restaurant;Cuisine traditionnelle;;3 Place du Prieuré;;53260;;;PARNE-SUR-ROC;53175;48.0057459;-0.6691417;;;07 83 60 43 83;;aucomptoirduroc@gmail.com;;;"Facebook||https://www.facebook.com/profile.php?id=61579008897532&locale=en_GB ; Instagram||https://www.instagram.com/au_comptoir_du_roc/";;;;;;oui;;;Bon cadeau,Plats à emporter,Traiteur,WiFi;;;;;;;Anglais,Français;;;16;oui;;||07 83 60 43 83||aucomptoirduroc@gmail.com;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;48.0057459, -0.6691417;Mayenne
Au G'Retz des Saisons;Restaurant;Restaurant gastronomique - cuisine raffinée;;17 rue Jean du Plessis;;44760;;;LA BERNERIE-EN-RETZ;44012;47.08083;-2.03661;;;02 51 74 61 60;;contact@augretzdessaisons.fr;;;;;;Michelin;;;;;;;26;1;;;;;;;;;;;;;;;Cartes bancaires,Espèces;47.08083, -2.03661;Loire-Atlantique
Au Guingois ID'Halles;Restaurant;Brasserie;;Place du 8 Mai 1945;;49300;;;CHOLET;49099;47.0567;-0.87922;;;02 41 62 10 85;;auguingois@orange.fr;http://auguingoisidhalles.fr;;Tripadvisor||;"<div id=""TA_selfserveprop674"" class=""TA_selfserveprop"">;<ul id=""7BgoWga"" class=""TA_links igEDCuOv1K95"">;<li id=""n10ZXIl2rsB"" class=""crjWCz"">;<a target=""_blank"" href=""https://www.tripadvisor.fr/""><img src=""https://www.tripadvisor.fr/img/cdsi/img2/branding/150_logo-11900-2.png"" alt=""TripAdvisor""/></a>;</li>;</ul>;</div>;<script src=""https://www.jscache.com/wejs?wtype=selfserveprop&amp;uniq=674&amp;locationId=4450031&amp;lang=fr&amp;rating=true&amp;nreviews=2&amp;writereviewlink=true&amp;popIdx=false&amp;iswide=true&amp;border=false""></script>";;;;;oui;;;Chaise haute / Réhausseur,Service en terrasse,WiFi;130;;60;;;;Français;oui;;40;;01/01/2026||31/12/2026||||||12:00||||||||12:00||||||||12:00||||||||12:00||||||||12:00||||||||12:00||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.0567, -0.87922;Maine-et-Loire
AU P'TIT CHARCHIGNÉ;Restaurant;Cuisine traditionnelle;1 rue du château;;;53250;;;CHARCHIGNE;53061;48.4174;-0.40782;;;0243113858;;auptitcharchigne@gmail.com;;;Facebook||https://www.facebook.com/profile.php?id=100092430791712;;;;;;;;;;40;;;;;;;;;;oui;;||02 43 11 38 58||;;;;;48.4174, -0.40782;Mayenne
AU RALLYE  PERSEIGNE;Restaurant;Cuisine traditionnelle;;99 route de Mamers;Le Buisson;72610;;;VILLENEUVE-EN-PERSEIGNE;72137;48.4059311;0.192941;Route (nationale/départ.)||D311  bord de route||0;;02 33 26 30 13;;jo-jo.lefranc@wanadoo.fr;;;;;;;;;oui;;;Banquet,Plats à emporter,Service en terrasse,Traiteur;90;2;12;1;2;;Anglais,Français;oui;;120;non;||||Ouvert tous les jours. Le week end sur Réservation pour banquet||||08:00||||||19:00||08:00||||||19:00||08:00||||||19:00||08:00||||||19:00||08:00||||||19:00||10:00||||||19:00||10:00||||||16:00;LEFRANC||02 33 26 30 13||jo-jo.lefranc@wanadoo.fr;;;;Cartes bancaires,Chèques bancaires et postaux;48.4059311, 0.192941;Sarthe
Au relais fleuri;Restaurant;Cuisine traditionnelle;;Le Bourg;;72600;;;SAINT-CALEZ-EN-SAOSNOIS;72270;48.3131375;0.30329993;"Route (nationale/départ.)||CD 300 Mamers Le Mans via Ballon||0,2 ; Autoroute||A 28 Rouen Tours||15 ; Gare SNCF||Le Mans||40 ; Gare routière||Le Mans||40";;02.43.97.74.94;;relaisfleuri72@orange.fr;;;;;;;;;oui;;Confrérie de la chaîne des rôtisseurs;Banquet,Plats à emporter,Séminaire,Service en terrasse,Traiteur;90;2;30;;;;;oui;10;50;;"||||||Fermé 3 semaines en août|||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; ||||du Lundi au vendredi de 8h à 19h, le samedi de 9h à 22h et dimanche de 9h à 14h||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";COMMAUCHE||02 43 97 74 94||relaisfleuri72@orange.fr;;;;Cartes bancaires,Chèques bancaires et postaux;48.3131375, 0.30329993;Sarthe
Auberge de la Vègre;Hôtel restaurant;Cuisine traditionnelle;4 rue de la Vegre;;;72240;;;RUILLE-EN-CHAMPAGNE;72261;48.0596313;-0.0822479;Route (nationale/départ.)||D95||0,1;;;;aubergedelavegre@gmail.com;;;Facebook||https://www.facebook.com/Le-relais-des-gourmets-72-1705457616425002/;;;;;;oui;non à l'hotel;Auberge de Village,Maitres Restaurateurs;Banquet,Plats à emporter,Séminaire,Service en terrasse,Traiteur,WiFi;50;2;15;1;0;;Anglais,Français;oui;5;40;oui;||||||Fermé le lundi||||||||||07:00||14:30||16:00||21:00||07:00||14:30||16:00||21:00||07:00||14:30||16:00||21:00||07:00||14:30||16:00||22:00||07:00||14:30||16:00||22:00||07:00||||||14:30;Le Relais des Gourmets||07 60 16 65 20||lerelaisdesgourmets72@hotmail.com;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;48.0596313, -0.0822479;Sarthe
Auberge des 3 Provinces;Restaurant;Cuisine traditionnelle;;Lieu-Dit La Grossière;Torfou;49660;;;SEVREMOINE;49301;47.0299629;-1.1472842;;;02 41 46 57 59;;les3provinces@orange.fr;;;"Google+||https://g.co/kgs/6FvGZ6B ; Facebook||https://www.facebook.com/AubergeDes3Provinces/";;;;;;;;;Climatisation,Service en terrasse,WiFi;55;1;36;;;;;oui;;50;oui;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.0299629, -1.1472842;Loire-Atlantique
Auberge des Blés d'Or;Restaurant;Restaurant gastronomique - cuisine raffinée;;29 rue Principale;;72230;;;RUAUDIN;72260;47.9437925;0.26356299;"Route (nationale/départ.)||N 138||2 ; Autoroute||A 28||8 ; Gare SNCF||Le Mans||7";;02 43 75 79 33;;aubergeblesdor@orange.fr;;;;;;Gault Millau;;;oui;;19 Bonnes Tables;Banquet,Séminaire;300;4;;;0;;Anglais;oui;20;160;oui;;"PLANCHARD||02.43.75.79.33|| ; PLANCHARD||02.43.75.79.33||";;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.9437925, 0.26356299;Sarthe
Auberge du Château;Hôtel restaurant;Cuisine traditionnelle;Place du château;;;72440;;;BOULOIRE;72042;47.9731137;0.5555571;;;02 43 35 69 04;;aubergeduchateaubouloire@gmail.com;https://auberge-bouloire.fr/;;;;;;;"Déficience auditive ; Déficience mentale ; Déficience moteur ; Déficience visuelle";;;;Banquet,Service en terrasse;40;;;;;;;oui;;;oui;;;;;;Cartes bancaires,Chèques bancaires et postaux;47.9731137, 0.5555571;Sarthe
Auberge du Port Domino;Restaurant;Cuisine traditionnelle;;55 Port Domino;;44330;;;LE PALLET;44117;47.1395488;-1.3583659;;0615757059;0954549234;;contact@aubergeduportdomino.fr;https://www.aubergeduportdomino.fr/;;;;;;;;oui;;;Plats à emporter,Traiteur,WiFi;25;1;0;0;0;;Anglais,Français;oui;25;30;oui;;;;;Menu adulte du jour (midi en semaine)||||||Menu entrée-plat-dessert;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant,Virement;47.1395488, -1.3583659;Loire-Atlantique
Auberge du Tire Bouchon;Hôtel restaurant;Cuisine traditionnelle;;34 rue de la Vallée du Hâvre;;44521;;;COUFFE;44048;47.3897375;-1.2958131;;;02 40 96 54 39;;contact@aubergedutirebouchon.com;http://www.aubergedutirebouchon.com;;"Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g1753324-d8001680-Reviews-Auberge_Du_Tire_Bouchon-Couffe_Loire_Atlantique_Pays_de_la_Loire.html ; Facebook||https://www.facebook.com/aubergedutirebouchon/?locale=fr_FR";"<div id=""TA_selfserveprop996"" class=""TA_selfserveprop"">;<ul id=""in4C1sxqQUH"" class=""TA_links WIzSbG5pi"">;<li id=""70VppDvo"" class=""ZVmfnR"">;<a target=""_blank"" href=""https://www.tripadvisor.fr/""><img src=""https://www.tripadvisor.fr/img/cdsi/img2/branding/150_logo-11900-2.png"" alt=""TripAdvisor""/></a>;</li>;</ul>;</div>;<script src=""https://www.jscache.com/wejs?wtype=selfserveprop&amp;uniq=996&amp;locationId=8001680&amp;lang=fr&amp;rating=true&amp;nreviews=3&amp;writereviewlink=false&amp;popIdx=false&amp;iswide=false&amp;border=true&amp;display_version=2""></script>;";;;;;oui;;Auberge de Village;Banquet,Plats à emporter,WiFi;50;1;50;;;;Anglais,Français;oui;;45;oui;||||||||||||||||||||||||09:00||14:00||||||07:00||14:00||||||07:00||14:00||19:00||21:00||08:00||14:20||19:00||21:00||08:00||13:30||||;||02 40 96 54 39||contact@aubergedutirebouchon.com;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.3897375, -1.2958131;Loire-Atlantique
AUX P'TITS JOUEURS;Restaurant;Bistrot / bar à vin;;23 rue du Port Guichard;;44000;;;NANTES;44109;47.2320077;-1.544704;;;02 40 74 09 87;;;;;Facebook||https://www.facebook.com/ptitsjoueurs;;;Le petit futé;;;oui;Tenus en laisse;;Banquet,Plats à emporter,Séminaire,Service en terrasse,WiFi;45;2;;;;;Anglais,Français;oui;;80;non;;||02 40 74 09 87||auxptitsjoueurs@gmail.com;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.2320077, -1.544704;Loire-Atlantique
Baan Nittaya;Restaurant;;;18 quai Saint-Pierre;;44420;;;LA TURBALLE;44211;47.3471;-2.51084;;;09 83 33 07 91;;;;;;;;;;;non;;;;;;;;;;;;;;;01/01/2026||31/12/2026||17H30 à 19H30||||11:00||13:30||||||11:00||13:30||||||||||||||11:00||13:30||||||11:00||13:30||||||11:00||13:30||||||11:00||13:30||||;;;;;Cartes bancaires,Espèces;47.3471, -2.51084;Loire-Atlantique
Bang-Boo Café;;Cuisine du Monde;;Place de l'Église;;53200;;;CHEMAZE;53066;47.7534189;-0.7478063;;06 19 51 47 15;;;miam@bang-boo.fr;;;Facebook||https://www.facebook.com/profile.php?id=100091241824631&sk=photos;;;;;;;;;Traiteur;100;0;;;;;;oui;;100;oui;;;;;;;47.7534189, -0.7478063;Mayenne
Bar Brasserie La Ville;Restaurant;Brasserie;;2 rue Foullon;Doué-la-Fontaine;49700;;;DOUE-EN-ANJOU;49125;47.194287;-0.276842;;;02 41 59 18 34;;cafedelavilledoue@outlook.fr;;;Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g608799-d4954806-Reviews-Brasserie_de_la_ville-Doue_la_Fontaine_Maine_et_Loire_Pays_de_la_Loire.html;;;;;;oui;;;;50;1;30;;;;Français;;;;;01/01/2026||31/12/2026||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Menu adulte du jour (midi en semaine)||11,90||19,90||;Cartes bancaires;47.194287, -0.276842;Maine-et-Loire
Bar du Mini Golf;Restaurant;Restauration rapide;;13 avenue Porson;;44380;;;PORNICHET;44132;47.26343;-2.34057;;;09 52 50-15-91;;;;;;;;;;;;;;;;;;;;;;;;;;01/04/2022||01/11/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;47.26343, -2.34057;Loire-Atlantique
Bar Le Congrès;Restaurant;Cuisine traditionnelle;;45 rue d'Arcole;;72000;;;LE MANS;72181;48.0004748;0.1925046;;06 11 05 67 46;;;ddevun@laposte.net;https://www.facebook.com/lecongres45/;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;Cartes bancaires;48.0004748, 0.1925046;Sarthe
Bar Le HS;Restaurant;Restauration rapide;;12 place Jean Bégault;Doué-la-Fontaine;49700;;;DOUE-EN-ANJOU;49125;47.193654;-0.275817;;;;;;;;Facebook||https://www.facebook.com/lehsdouelafontaine;;;;;;;;;;;;;;;;Français;;;;;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;47.193654, -0.275817;Maine-et-Loire
Bar moustache;Restaurant;;;12 rue du centre;;44510;;;LE POULIGUEN;44135;47.27693;-2.42924;;06 65 44 61 66;;;contact.barmoustache@gmail.com;;;;;;;;;oui;;;Service en terrasse;;;;;;;;;;;;;;;;;;47.27693, -2.42924;Loire-Atlantique
BAR RESTAURANT LA GUINGUETTE DU BAC;Restaurant;Guinguette;;rue du port;;53200;;;MENIL;53150;47.7748769;-0.6732672;;;02 43 70 21 27;;guinguette53@gmail.com;;;"Instagram||https://www.instagram.com/la_guinguette_du_bac/ ; Facebook||https://www.facebook.com/laguinguettedubac";;;;;;oui;;;;22;;28;;;;Français;;;;non;"01/04/2026||30/06/2026||Ouvert tous les jours sauf le mardi||Fermé le mardi|||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/07/2026||31/08/2026||Ouvert tous les jours|||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/09/2026||30/09/2026||Ouvert tous les jours sauf le mardi||Fermé le mardi||||||||||||||||||||||||||||||||||||||||||||||||||||||||";La Guinguette du Bac||02 43 70 21 27||guinguette53@gmail.com;;;;Cartes bancaires,Chèques bancaires et postaux;47.7748769, -0.6732672;Mayenne
Bar- Crêperie Aux Baroudeurs;Restaurant;Crêperie;;19 Promenade du Port;;44510;;;LE POULIGUEN;44135;47.274;-2.42467;;;06 62 87 60 68;;fmage.fm@gmail.com;;;;;;;;;;;;Service en terrasse;;;;;;;;;;;;01/01/2025||31/12/2025||||||||||||||||||||||10:00||21:00||||||10:00||21:00||||||10:00||21:00||||||10:00||21:00||||||10:00||21:00||||;;;;;;47.274, -2.42467;Loire-Atlantique
Bar-Restaurant - Central Café;Restaurant;Brasserie;;50 avenue de Bretagne;;44420;;;MESQUER;44097;47.39942;-2.46;;;06 11 84 98 41;;centralcafe.mesquer@gmail.com;http://www.centralcafe-mesquer.com;;;;;;;;oui;;;Service en terrasse,WiFi;30;;50;;;;Anglais;oui;;30;;01/01/2026||31/12/2026||consulter nos horaires en ligne, horaires différents selon les périodes||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Espèces;47.39942, -2.46;Loire-Atlantique
Bar-Restaurant du Vallon;Restaurant;Cuisine traditionnelle;2 RUE DES SABLONS;;;72390;;;SEMUR-EN-VALLON;72333;48.02355;0.65408;;;09 79 68 02 94;;;;;;;;;;;;;;;50;;50;;;;;;;;;;;;;;;48.02355, 0.65408;Sarthe
Basilic & Co;Restaurant;Pizzeria;;46 boulevard Ayrault;;49100;;;ANGERS;49007;47.47561;-0.54983;;;02 41 27 90 56;;basilicandcoangers01@gmail.com;https://basilic-and-co.com/restaurants/pizzeria-angers/universite/;;"Facebook||https://www.facebook.com/basilicandcoangersuniversite/ ; Instagram||https://www.instagram.com/basilicandcoangersuniversite/?img_index=1";;;;;;;;;Chaise haute / Réhausseur,Climatisation,Plats à emporter,Service en terrasse;30;1;;;;;Anglais,Espagnol,Français;oui;;12;;"02/01/2024||31/12/2024||||||11:30||14:00||18:30||22:00||11:30||14:00||18:30||22:00||11:30||14:00||18:30||22:00||11:30||14:00||18:30||22:00||11:30||14:00||18:30||22:30||11:30||14:30||18:30||22:30||11:30||14:00||18:30||22:00 ; 01/01/2025||31/12/2025||||||11:30||14:00||18:30||22:00||11:30||14:00||18:30||22:00||11:30||14:00||18:30||22:00||11:30||14:00||18:30||22:00||11:30||14:00||18:30||22:30||11:30||14:00||18:30||22:30||11:30||14:00||18:30||22:00 ; 01/01/2026||31/12/2026||||||11:30||14:00||18:30||22:00||11:30||14:00||18:30||22:00||11:30||14:00||18:30||22:00||11:30||14:00||18:30||22:00||11:30||14:00||18:30||22:30||11:30||14:00||18:30||22:30||11:30||14:30||18:30||22:00";;;;;Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant,Carte Ticket Restaurant;47.47561, -0.54983;Maine-et-Loire
BIGA;Restaurant;Pizzeria;;20 Boulevard de l'Atlantique;;44510;;;LE POULIGUEN;44135;47.27432;-2.43984;;;09 71 51 95 42;;;;;;;;;;;oui;;;;;;;;;;;;;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.27432, -2.43984;Loire-Atlantique
Bistrot de la Préfecture;Restaurant;Bistrot / bar à vin;;51 Avenue du Général de Gaulle;;72100;;;LE MANS;72181;48.0038649;0.1995512;;;06 09 84 37 41;;;;;Instagram||;;;;;;;;;Plats à emporter,Service en terrasse;50;1;20;;;;;;;;oui;;;;;Plats à la carte||4,50||13,00||;Cartes bancaires,Espèces,Tickets Restaurant;48.0038649, 0.1995512;Sarthe
Bistrot Les Tontons;Restaurant;Cuisine traditionnelle;;1 bis place Saint-Pierre;;49400;;;SAUMUR;49328;47.258709;-0.074873;;;02 41 59 59 40;;lestontonshugo@gmail.com;https://bistrotlestontons-saumur.fr/;;"Facebook||https://www.facebook.com/BistrotLesTontons/ ; Instagram||https://www.instagram.com/bistrotlestontons.saumur";;;;;;oui;;;Chaise haute / Réhausseur,Service en terrasse,Table à langer,WiFi;28;1;55;;;;Français;;;26;;"01/01/2026||31/03/2026||Pour connaitre le détail, contacter l'établissement.|||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/04/2026||31/10/2026||Pour connaitre le détail, contacter l'établissement.|||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/11/2026||31/12/2026||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;"Plats à la carte||6,90||27,00|| ; Menu adulte du jour (midi en semaine)||18,50||20,50||Midi en semaine";Espèces;47.258709, -0.074873;Maine-et-Loire
